,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6852),tensor(0.5818),tensor(0.8993)
1,1,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6902),tensor(0.5843),tensor(0.8849)
2,2,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6761),tensor(0.5704),tensor(0.8813)
3,3,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6783),tensor(0.6094),tensor(0.8882)
4,4,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6995),tensor(0.6210),tensor(0.8887)
5,5,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6924),tensor(0.5918),tensor(0.8863)
6,6,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.7084),tensor(0.6246),tensor(0.8783)
7,7,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7333),tensor(0.6515),tensor(0.8900)
8,8,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.7329),tensor(0.6501),tensor(0.8791)
9,9,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.7134),tensor(0.6040),tensor(0.8653)
10,10,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7328),tensor(0.6305),tensor(0.8777)
11,11,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.7205),tensor(0.6163),tensor(0.8881)
12,12,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6933),tensor(0.6190),tensor(0.8918)
13,13,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6748),tensor(0.5767),tensor(0.8638)
14,14,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6945),tensor(0.5957),tensor(0.8761)
15,15,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6721),tensor(0.6014),tensor(0.9052)
16,16,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6851),tensor(0.5864),tensor(0.8894)
17,17,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6650),tensor(0.6013),tensor(0.9029)
18,18,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.7095),tensor(0.6272),tensor(0.8950)
19,19,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6999),tensor(0.6107),tensor(0.9012)
