,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6852),tensor(0.5818),tensor(0.8994)
1,1,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6900),tensor(0.5842),tensor(0.8849)
2,2,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6760),tensor(0.5706),tensor(0.8813)
3,3,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6785),tensor(0.6096),tensor(0.8881)
4,4,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6995),tensor(0.6213),tensor(0.8887)
5,5,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6925),tensor(0.5921),tensor(0.8863)
6,6,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.7087),tensor(0.6251),tensor(0.8786)
7,7,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7334),tensor(0.6515),tensor(0.8901)
8,8,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.7328),tensor(0.6500),tensor(0.8792)
9,9,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.7135),tensor(0.6040),tensor(0.8654)
10,10,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7325),tensor(0.6303),tensor(0.8780)
