,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6666),tensor(0.5667),tensor(0.8898)
1,1,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6645),tensor(0.5630),tensor(0.8779)
2,2,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6501),tensor(0.5438),tensor(0.8731)
3,3,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6739),tensor(0.5991),tensor(0.8831)
4,4,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6883),tensor(0.6049),tensor(0.8874)
5,5,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6880),tensor(0.5986),tensor(0.8841)
6,6,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6908),tensor(0.6163),tensor(0.8926)
7,7,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6986),tensor(0.6293),tensor(0.8946)
8,8,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.7010),tensor(0.6196),tensor(0.8790)
9,9,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6766),tensor(0.5589),tensor(0.8590)
10,10,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6972),tensor(0.5962),tensor(0.8728)
11,11,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6917),tensor(0.5837),tensor(0.8850)
12,12,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6654),tensor(0.5963),tensor(0.8760)
13,13,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6520),tensor(0.5794),tensor(0.8723)
14,14,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6942),tensor(0.6157),tensor(0.8818)
15,15,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6675),tensor(0.5922),tensor(0.8946)
16,16,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6882),tensor(0.5925),tensor(0.8892)
17,17,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6608),tensor(0.5938),tensor(0.8955)
18,18,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6940),tensor(0.6055),tensor(0.8845)
19,19,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6927),tensor(0.6018),tensor(0.8960)
20,20,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6973),tensor(0.6219),tensor(0.8966)
21,21,"[7]_to_[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6590),tensor(0.5961),tensor(0.8990)
22,22,"[7]_to_[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6794),tensor(0.6058),tensor(0.8976)
23,23,"[7]_to_[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6680),tensor(0.5890),tensor(0.8986)
24,24,"[8]_to_[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.5917),tensor(0.5360),tensor(0.8867)
25,25,"[8]_to_[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6144),tensor(0.5214),tensor(0.8688)
26,26,"[8]_to_[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6321),tensor(0.5510),tensor(0.8812)
27,27,"[9]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6779),tensor(0.5763),tensor(0.8729)
28,28,"[9]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6787),tensor(0.5766),tensor(0.8843)
