,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.7041),tensor(0.6048),tensor(0.8927)
1,1,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6563),tensor(0.5682),tensor(0.8732)
2,2,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6431),tensor(0.5387),tensor(0.8725)
3,3,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6850),tensor(0.6201),tensor(0.8774)
4,4,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7074),tensor(0.6345),tensor(0.8872)
5,5,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6937),tensor(0.6182),tensor(0.8846)
6,6,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.7166),tensor(0.6533),tensor(0.8906)
7,7,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7128),tensor(0.6555),tensor(0.8932)
8,8,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6995),tensor(0.5935),tensor(0.8672)
9,9,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6941),tensor(0.5786),tensor(0.8637)
10,10,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7118),tensor(0.6119),tensor(0.8783)
11,11,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.7247),tensor(0.6237),tensor(0.8843)
12,12,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.5983),tensor(0.4967),tensor(0.8316)
13,13,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6174),tensor(0.5519),tensor(0.8474)
14,14,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6303),tensor(0.5387),tensor(0.8460)
15,15,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6989),tensor(0.6198),tensor(0.8946)
16,16,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7308),tensor(0.6425),tensor(0.8964)
17,17,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6766),tensor(0.6258),tensor(0.8937)
18,18,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.7268),tensor(0.6511),tensor(0.8742)
19,19,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7265),tensor(0.6343),tensor(0.8874)
20,20,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.7136),tensor(0.6483),tensor(0.8809)
21,21,"[7]_to_[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6662),tensor(0.6096),tensor(0.8919)
22,22,"[7]_to_[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6682),tensor(0.6199),tensor(0.8932)
23,23,"[7]_to_[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.7161),tensor(0.6297),tensor(0.9072)
24,24,"[8]_to_[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.5823),tensor(0.5320),tensor(0.8896)
25,25,"[8]_to_[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.5901),tensor(0.5064),tensor(0.8733)
26,26,"[8]_to_[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6257),tensor(0.5507),tensor(0.8912)
27,27,"[9]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6383),tensor(0.5349),tensor(0.8406)
28,28,"[9]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6726),tensor(0.5725),tensor(0.8716)
29,29,"[9]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6722),tensor(0.5761),tensor(0.8611)
30,30,"[10]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.5786),tensor(0.4551),tensor(0.8322)
31,31,"[10]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6182),tensor(0.4770),tensor(0.8580)
32,32,"[10]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6263),tensor(0.4996),tensor(0.8673)
33,33,"[11]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6857),tensor(0.5882),tensor(0.8491)
34,34,"[11]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.7007),tensor(0.5795),tensor(0.8635)
35,35,"[11]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6823),tensor(0.5606),tensor(0.8734)
