,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6613),tensor(0.5550),tensor(0.8885)
1,1,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6649),tensor(0.5599),tensor(0.8756)
2,2,"[0]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6638),tensor(0.5626),tensor(0.8735)
3,3,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6650),tensor(0.5988),tensor(0.8838)
4,4,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6787),tensor(0.5988),tensor(0.8834)
5,5,"[1]_to_[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6797),tensor(0.5905),tensor(0.8816)
6,6,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6765),tensor(0.5999),tensor(0.8783)
7,7,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6867),tensor(0.6149),tensor(0.8843)
8,8,"[2]_to_[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6907),tensor(0.6167),tensor(0.8730)
9,9,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6757),tensor(0.5649),tensor(0.8520)
10,10,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6831),tensor(0.5815),tensor(0.8543)
11,11,"[3]_to_[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6844),tensor(0.5826),tensor(0.8779)
12,12,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6728),tensor(0.6083),tensor(0.8854)
13,13,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6516),tensor(0.5725),tensor(0.8635)
14,14,"[4]_to_[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6785),tensor(0.5972),tensor(0.8770)
15,15,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6531),tensor(0.5846),tensor(0.8954)
16,16,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6654),tensor(0.5641),tensor(0.8788)
17,17,"[5]_to_[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6435),tensor(0.5821),tensor(0.8937)
18,18,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6844),tensor(0.6015),tensor(0.8877)
19,19,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6762),tensor(0.5872),tensor(0.8948)
20,20,"[6]_to_[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6865),tensor(0.6140),tensor(0.8966)
21,21,"[7]_to_[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6547),tensor(0.5958),tensor(0.8993)
22,22,"[7]_to_[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6684),tensor(0.5932),tensor(0.8938)
23,23,"[7]_to_[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6531),tensor(0.5789),tensor(0.8947)
24,24,"[8]_to_[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6241),tensor(0.5670),tensor(0.8827)
25,25,"[8]_to_[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6405),tensor(0.5499),tensor(0.8736)
26,26,"[8]_to_[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6493),tensor(0.5662),tensor(0.8785)
27,27,"[9]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6742),tensor(0.5803),tensor(0.8763)
28,28,"[9]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6653),tensor(0.5687),tensor(0.8765)
29,29,"[9]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6679),tensor(0.5834),tensor(0.8884)
30,30,"[10]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.5797),tensor(0.4625),tensor(0.8433)
31,31,"[10]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.5990),tensor(0.4748),tensor(0.8459)
32,32,"[10]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.5989),tensor(0.5135),tensor(0.8521)
33,33,"[11]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6659),tensor(0.5563),tensor(0.8552)
34,34,"[11]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6731),tensor(0.5587),tensor(0.8599)
35,35,"[11]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6780),tensor(0.5629),tensor(0.8690)
36,36,"[12]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19]",0,tensor(0.6652),tensor(0.5945),tensor(0.8774)
37,37,"[12]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19]",1,tensor(0.6566),tensor(0.5781),tensor(0.8626)
38,38,"[12]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19]",2,tensor(0.6460),tensor(0.5868),tensor(0.8742)
39,39,"[13]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19]",0,tensor(0.6714),tensor(0.5867),tensor(0.8825)
40,40,"[13]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19]",1,tensor(0.6384),tensor(0.5606),tensor(0.8777)
41,41,"[13]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19]",2,tensor(0.6666),tensor(0.5839),tensor(0.8846)
42,42,"[14]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",0,tensor(0.6569),tensor(0.5435),tensor(0.8682)
43,43,"[14]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",1,tensor(0.6380),tensor(0.5543),tensor(0.8701)
44,44,"[14]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",2,tensor(0.6493),tensor(0.5666),tensor(0.8828)
45,45,"[15]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",0,tensor(0.6692),tensor(0.5839),tensor(0.8806)
46,46,"[15]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",1,tensor(0.6309),tensor(0.5607),tensor(0.8693)
47,47,"[15]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",2,tensor(0.6633),tensor(0.5831),tensor(0.8798)
48,48,"[16]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]",0,tensor(0.6114),tensor(0.5195),tensor(0.8357)
49,49,"[16]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]",1,tensor(0.6422),tensor(0.5560),tensor(0.8522)
50,50,"[16]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]",2,tensor(0.6474),tensor(0.5499),tensor(0.8649)
51,51,"[17]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]",0,tensor(0.6302),tensor(0.5196),tensor(0.8389)
52,52,"[17]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]",1,tensor(0.6419),tensor(0.5257),tensor(0.8485)
53,53,"[17]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]",2,tensor(0.6218),tensor(0.5082),tensor(0.8161)
54,54,"[18]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]",0,tensor(0.6546),tensor(0.5864),tensor(0.8905)
55,55,"[18]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]",1,tensor(0.6255),tensor(0.5628),tensor(0.8796)
56,56,"[18]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]",2,tensor(0.6365),tensor(0.5696),tensor(0.8902)
57,57,"[19]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0,tensor(0.6680),tensor(0.5672),tensor(0.8796)
58,58,"[19]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1,tensor(0.6437),tensor(0.5732),tensor(0.8804)
59,59,"[19]_to_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2,tensor(0.6632),tensor(0.5774),tensor(0.8769)
60,60,mean,-,0.6559,0.5691,0.8739
61,61,std,-,0.0234,0.0304,0.0168
