,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3]",0,tensor(0.8639),tensor(0.8973),tensor(0.9629)
1,1,"[0]_to_[1, 2, 3]",1,tensor(0.8750),tensor(0.9060),tensor(0.9768)
2,2,"[0]_to_[1, 2, 3]",2,tensor(0.8195),tensor(0.8605),tensor(0.9693)
3,3,"[1]_to_[0, 2, 3]",0,tensor(0.6715),tensor(0.7189),tensor(0.8689)
4,4,"[1]_to_[0, 2, 3]",1,tensor(0.6974),tensor(0.7385),tensor(0.8591)
5,5,"[1]_to_[0, 2, 3]",2,tensor(0.6445),tensor(0.6979),tensor(0.8648)
6,6,"[2]_to_[0, 1, 3]",0,tensor(0.6818),tensor(0.7268),tensor(0.8981)
7,7,"[2]_to_[0, 1, 3]",1,tensor(0.7747),tensor(0.7955),tensor(0.8613)
8,8,"[2]_to_[0, 1, 3]",2,tensor(0.7096),tensor(0.7476),tensor(0.9042)
9,9,"[3]_to_[0, 1, 2]",0,tensor(0.6656),tensor(0.7143),tensor(0.8628)
10,10,"[3]_to_[0, 1, 2]",1,tensor(0.6863),tensor(0.7302),tensor(0.8585)
11,11,"[3]_to_[0, 1, 2]",2,tensor(0.6452),tensor(0.6986),tensor(0.8620)
12,12,mean,-,0.7279,0.7693,0.8957
13,13,std,-,0.0835,0.0766,0.0471
