,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3]",0,tensor(0.8620),tensor(0.8942),tensor(0.9640)
1,1,"[0]_to_[1, 2, 3]",1,tensor(0.8701),tensor(0.9017),tensor(0.9771)
2,2,"[0]_to_[1, 2, 3]",2,tensor(0.8431),tensor(0.8787),tensor(0.9644)
3,3,"[1]_to_[0, 2, 3]",0,tensor(0.6722),tensor(0.7194),tensor(0.8692)
4,4,"[1]_to_[0, 2, 3]",1,tensor(0.6981),tensor(0.7391),tensor(0.8612)
5,5,"[1]_to_[0, 2, 3]",2,tensor(0.6452),tensor(0.6985),tensor(0.8663)
6,6,"[2]_to_[0, 1, 3]",0,tensor(0.6870),tensor(0.7307),tensor(0.9023)
7,7,"[2]_to_[0, 1, 3]",1,tensor(0.7717),tensor(0.7933),tensor(0.8600)
8,8,"[2]_to_[0, 1, 3]",2,tensor(0.7159),tensor(0.7523),tensor(0.9071)
9,9,"[3]_to_[0, 1, 2]",0,tensor(0.6656),tensor(0.7143),tensor(0.8626)
10,10,"[3]_to_[0, 1, 2]",1,tensor(0.6885),tensor(0.7318),tensor(0.8593)
11,11,"[3]_to_[0, 1, 2]",2,tensor(0.6471),tensor(0.7000),tensor(0.8635)
12,12,mean,-,0.7305,0.7712,0.8964
13,13,std,-,0.0842,0.0769,0.0464
