,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3]",0,tensor(0.8267),tensor(0.8674),tensor(0.9552)
1,1,"[0]_to_[1, 2, 3]",1,tensor(0.8689),tensor(0.8993),tensor(0.9624)
2,2,"[0]_to_[1, 2, 3]",2,tensor(0.8441),tensor(0.8780),tensor(0.9635)
3,3,"[1]_to_[0, 2, 3]",0,tensor(0.6937),tensor(0.7394),tensor(0.8625)
4,4,"[1]_to_[0, 2, 3]",1,tensor(0.6885),tensor(0.7306),tensor(0.8555)
5,5,"[1]_to_[0, 2, 3]",2,tensor(0.6891),tensor(0.7307),tensor(0.8563)
6,6,"[2]_to_[0, 1, 3]",0,tensor(0.6965),tensor(0.7392),tensor(0.8971)
7,7,"[2]_to_[0, 1, 3]",1,tensor(0.7516),tensor(0.7781),tensor(0.8736)
8,8,"[2]_to_[0, 1, 3]",2,tensor(0.7061),tensor(0.7416),tensor(0.8949)
9,9,"[3]_to_[0, 1, 2]",0,tensor(0.6826),tensor(0.7275),tensor(0.8583)
10,10,"[3]_to_[0, 1, 2]",1,tensor(0.6822),tensor(0.7317),tensor(0.8564)
11,11,"[3]_to_[0, 1, 2]",2,tensor(0.6834),tensor(0.7345),tensor(0.8548)
12,12,mean,-,0.7345,0.7748,0.8909
13,13,std,-,0.0707,0.0661,0.0444
