,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3]",0,tensor(0.6234),tensor(0.4120),tensor(0.8721)
1,1,"[0]_to_[1, 2, 3]",1,tensor(0.7503),tensor(0.6710),tensor(0.9159)
2,2,"[0]_to_[1, 2, 3]",2,tensor(0.6263),tensor(0.4243),tensor(0.8208)
3,3,"[1]_to_[0, 2, 3]",0,tensor(0.6718),tensor(0.7192),tensor(0.8240)
4,4,"[1]_to_[0, 2, 3]",1,tensor(0.7140),tensor(0.7509),tensor(0.8464)
5,5,"[1]_to_[0, 2, 3]",2,tensor(0.6811),tensor(0.7262),tensor(0.8174)
6,6,"[2]_to_[0, 1, 3]",0,tensor(0.6104),tensor(0.6709),tensor(0.7889)
7,7,"[2]_to_[0, 1, 3]",1,tensor(0.7669),tensor(0.7858),tensor(0.9088)
8,8,"[2]_to_[0, 1, 3]",2,tensor(0.7414),tensor(0.7711),tensor(0.8582)
9,9,"[3]_to_[0, 1, 2]",0,tensor(0.5498),tensor(0.6194),tensor(0.7450)
10,10,"[3]_to_[0, 1, 2]",1,tensor(0.6918),tensor(0.7339),tensor(0.8524)
11,11,"[3]_to_[0, 1, 2]",2,tensor(0.4528),tensor(0.4057),tensor(0.6780)
12,12,mean,-,0.6567,0.6409,0.8273
13,13,std,-,0.0908,0.1443,0.0668
