,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[0]_to_[1, 2, 3]",0,tensor(0.8077),tensor(0.8521),tensor(0.9031)
1,1,"[0]_to_[1, 2, 3]",1,tensor(0.8049),tensor(0.8520),tensor(0.9020)
2,2,"[0]_to_[1, 2, 3]",2,tensor(0.8011),tensor(0.8471),tensor(0.9327)
3,3,"[1]_to_[0, 2, 3]",0,tensor(0.6678),tensor(0.7244),tensor(0.8651)
4,4,"[1]_to_[0, 2, 3]",1,tensor(0.6663),tensor(0.7116),tensor(0.8473)
5,5,"[1]_to_[0, 2, 3]",2,tensor(0.6203),tensor(0.6760),tensor(0.8451)
6,6,"[2]_to_[0, 1, 3]",0,tensor(0.6982),tensor(0.7470),tensor(0.8948)
7,7,"[2]_to_[0, 1, 3]",1,tensor(0.7132),tensor(0.7471),tensor(0.8570)
8,8,"[2]_to_[0, 1, 3]",2,tensor(0.6970),tensor(0.7270),tensor(0.8917)
9,9,"[3]_to_[0, 1, 2]",0,tensor(0.6463),tensor(0.7079),tensor(0.8616)
10,10,"[3]_to_[0, 1, 2]",1,tensor(0.6699),tensor(0.7277),tensor(0.8452)
11,11,"[3]_to_[0, 1, 2]",2,tensor(0.6551),tensor(0.7146),tensor(0.8476)
12,12,mean,-,0.7040,0.7529,0.8744
13,13,std,-,0.0655,0.0617,0.0293
