,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[1]_to_[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.9140),tensor(0.9167),tensor(0.9839)
1,1,"[1]_to_[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.9160),tensor(0.9189),tensor(0.9828)
2,2,"[1]_to_[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.9220),tensor(0.9243),tensor(0.9781)
3,3,"[2]_to_[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8968),tensor(0.8981),tensor(0.9731)
4,4,"[2]_to_[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8995),tensor(0.9019),tensor(0.9765)
5,5,"[2]_to_[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8975),tensor(0.9000),tensor(0.9745)
6,6,"[3]_to_[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8371),tensor(0.8305),tensor(0.9611)
7,7,"[3]_to_[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8608),tensor(0.8586),tensor(0.9737)
8,8,"[3]_to_[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8594),tensor(0.8579),tensor(0.9687)
9,9,"[4]_to_[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8372),tensor(0.8298),tensor(0.9730)
10,10,"[4]_to_[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8677),tensor(0.8653),tensor(0.9761)
11,11,"[4]_to_[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8538),tensor(0.8491),tensor(0.9732)
12,12,"[5]_to_[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8444),tensor(0.8415),tensor(0.9679)
13,13,"[5]_to_[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8480),tensor(0.8462),tensor(0.9721)
14,14,"[5]_to_[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8792),tensor(0.8776),tensor(0.9797)
15,15,"[6]_to_[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8956),tensor(0.8950),tensor(0.9841)
16,16,"[6]_to_[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8863),tensor(0.8858),tensor(0.9829)
17,17,"[6]_to_[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8839),tensor(0.8844),tensor(0.9801)
18,18,"[7]_to_[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8327),tensor(0.8280),tensor(0.9631)
19,19,"[7]_to_[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8479),tensor(0.8473),tensor(0.9560)
20,20,"[7]_to_[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8566),tensor(0.8574),tensor(0.9605)
21,21,"[8]_to_[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8990),tensor(0.9007),tensor(0.9795)
22,22,"[8]_to_[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8983),tensor(0.8991),tensor(0.9819)
23,23,"[8]_to_[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.9070),tensor(0.9084),tensor(0.9810)
24,24,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8860),tensor(0.8853),tensor(0.9812)
25,25,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8641),tensor(0.8602),tensor(0.9700)
26,26,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8973),tensor(0.8971),tensor(0.9818)
27,27,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.7984),tensor(0.7875),tensor(0.9658)
28,28,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8193),tensor(0.8093),tensor(0.9732)
29,29,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8478),tensor(0.8421),tensor(0.9665)
30,30,"[11]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8385),tensor(0.8339),tensor(0.9734)
31,31,"[11]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8439),tensor(0.8423),tensor(0.9706)
32,32,"[11]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8395),tensor(0.8349),tensor(0.9675)
33,33,"[12]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8800),tensor(0.8819),tensor(0.9719)
