,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[1]_to_[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.9100),tensor(0.9122),tensor(0.9820)
1,1,"[1]_to_[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.9143),tensor(0.9166),tensor(0.9797)
2,2,"[1]_to_[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.9047),tensor(0.9063),tensor(0.9768)
3,3,"[2]_to_[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8932),tensor(0.8940),tensor(0.9720)
4,4,"[2]_to_[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8961),tensor(0.8976),tensor(0.9760)
5,5,"[2]_to_[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8990),tensor(0.8997),tensor(0.9759)
6,6,"[3]_to_[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8528),tensor(0.8484),tensor(0.9604)
7,7,"[3]_to_[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8715),tensor(0.8706),tensor(0.9674)
8,8,"[3]_to_[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8717),tensor(0.8692),tensor(0.9705)
9,9,"[4]_to_[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8207),tensor(0.8138),tensor(0.9659)
10,10,"[4]_to_[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8754),tensor(0.8744),tensor(0.9751)
11,11,"[4]_to_[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8383),tensor(0.8325),tensor(0.9662)
12,12,"[5]_to_[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8364),tensor(0.8339),tensor(0.9634)
13,13,"[5]_to_[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8570),tensor(0.8564),tensor(0.9711)
14,14,"[5]_to_[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8776),tensor(0.8765),tensor(0.9771)
15,15,"[6]_to_[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8965),tensor(0.8970),tensor(0.9833)
16,16,"[6]_to_[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8870),tensor(0.8853),tensor(0.9819)
17,17,"[6]_to_[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8965),tensor(0.8968),tensor(0.9789)
18,18,"[7]_to_[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8268),tensor(0.8239),tensor(0.9621)
19,19,"[7]_to_[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8350),tensor(0.8358),tensor(0.9585)
20,20,"[7]_to_[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8592),tensor(0.8594),tensor(0.9658)
21,21,"[8]_to_[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8978),tensor(0.8987),tensor(0.9826)
22,22,"[8]_to_[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.8934),tensor(0.8946),tensor(0.9818)
23,23,"[8]_to_[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8991),tensor(0.8994),tensor(0.9848)
24,24,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8344),tensor(0.8292),tensor(0.9680)
25,25,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.6559),tensor(0.6634),tensor(0.8946)
26,26,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8519),tensor(0.8492),tensor(0.9749)
27,27,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8212),tensor(0.8111),tensor(0.9638)
28,28,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.7946),tensor(0.7762),tensor(0.9654)
29,29,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.8126),tensor(0.7999),tensor(0.9593)
30,30,"[11]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8606),tensor(0.8567),tensor(0.9739)
