,Unnamed: 0,scenario,run,acc,f1_score,auroc
0,0,"[1]_to_[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.4910),tensor(0.4085),tensor(0.7829)
1,1,"[1]_to_[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.2197),tensor(0.1950),tensor(0.6053)
2,2,"[1]_to_[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.4697),tensor(0.4635),tensor(0.8116)
3,3,"[2]_to_[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.8069),tensor(0.8082),tensor(0.9533)
4,4,"[2]_to_[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.4934),tensor(0.4658),tensor(0.7540)
5,5,"[2]_to_[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.4681),tensor(0.3988),tensor(0.7920)
6,6,"[3]_to_[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.5646),tensor(0.5104),tensor(0.8493)
7,7,"[3]_to_[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.4684),tensor(0.4229),tensor(0.8555)
8,8,"[3]_to_[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.4494),tensor(0.4382),tensor(0.8160)
9,9,"[4]_to_[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.4663),tensor(0.4466),tensor(0.7576)
10,10,"[4]_to_[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.3553),tensor(0.3590),tensor(0.6072)
11,11,"[4]_to_[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.5397),tensor(0.4945),tensor(0.8408)
12,12,"[5]_to_[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.3069),tensor(0.3208),tensor(0.6083)
13,13,"[5]_to_[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.1865),tensor(0.1891),tensor(0.5795)
14,14,"[5]_to_[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.4927),tensor(0.4681),tensor(0.8258)
15,15,"[6]_to_[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.5444),tensor(0.4348),tensor(0.7937)
16,16,"[6]_to_[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.3236),tensor(0.3052),tensor(0.7706)
17,17,"[6]_to_[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.5969),tensor(0.5594),tensor(0.8373)
18,18,"[7]_to_[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.5574),tensor(0.5095),tensor(0.8387)
19,19,"[7]_to_[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.4539),tensor(0.3737),tensor(0.8003)
20,20,"[7]_to_[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.5468),tensor(0.5051),tensor(0.8053)
21,21,"[8]_to_[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.6434),tensor(0.6149),tensor(0.7991)
22,22,"[8]_to_[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.2421),tensor(0.1988),tensor(0.7279)
23,23,"[8]_to_[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.7258),tensor(0.7194),tensor(0.9252)
24,24,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.3476),tensor(0.3438),tensor(0.7347)
25,25,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.1660),tensor(0.0475),tensor(0.4986)
26,26,"[9]_to_[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.1660),tensor(0.0475),tensor(0.4986)
27,27,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.5736),tensor(0.5135),tensor(0.8884)
28,28,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.2792),tensor(0.2652),tensor(0.6084)
29,29,"[10]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.6028),tensor(0.5130),tensor(0.8722)
30,30,"[11]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.4957),tensor(0.4680),tensor(0.8182)
31,31,"[11]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.5216),tensor(0.4933),tensor(0.7408)
